MFCCs,Feature_Type,Classifier,Accuracy,Precision,Recall,F1-Score
39,msrcc,k-Nearest Neighbors,58.92%,58.23%,58.92%,57.26%
39,msrcc,Decision Tree,51.92%,50.66%,51.92%,50.98%
39,msrcc,Random Forest,61.83%,61.74%,61.83%,60.55%
39,msrcc,Gradient Boosting,62.94%,62.16%,62.94%,62.31%
39,msrcc,Naive Bayes,44.00%,42.28%,44.00%,38.78%
39,fbank,Logistic Regression,57.52%,59.80%,57.52%,54.66%
39,fbank,Support Vector Machine,64.04%,70.08%,64.04%,62.32%
39,fbank,k-Nearest Neighbors,66.96%,66.57%,66.96%,66.40%
39,fbank,Decision Tree,61.89%,61.79%,61.89%,61.82%
39,fbank,Random Forest,76.46%,76.47%,76.46%,76.28%
39,fbank,Gradient Boosting,77.74%,77.76%,77.74%,77.68%
39,fbank,Naive Bayes,28.15%,54.50%,28.15%,22.27%
39,logfbank,Logistic Regression,72.38%,72.48%,72.38%,72.31%
39,logfbank,Support Vector Machine,82.23%,82.27%,82.23%,82.24%
39,logfbank,k-Nearest Neighbors,73.54%,73.40%,73.54%,73.44%
39,logfbank,Decision Tree,62.59%,63.08%,62.59%,62.73%
39,logfbank,Random Forest,73.19%,73.48%,73.19%,73.08%
39,logfbank,Gradient Boosting,77.86%,77.88%,77.86%,77.80%
39,logfbank,Naive Bayes,46.45%,43.58%,46.45%,40.75%
39,subband_centroid,Logistic Regression,44.11%,41.11%,44.11%,39.57%
39,subband_centroid,Support Vector Machine,46.50%,37.83%,46.50%,40.75%
39,subband_centroid,k-Nearest Neighbors,43.01%,42.22%,43.01%,42.00%
39,subband_centroid,Decision Tree,45.92%,44.78%,45.92%,44.52%
39,subband_centroid,Random Forest,46.68%,45.55%,46.68%,44.97%
39,subband_centroid,Gradient Boosting,47.03%,48.95%,47.03%,42.53%
39,subband_centroid,Naive Bayes,42.54%,41.60%,42.54%,41.56%
39,spncc,Logistic Regression,51.11%,49.18%,51.11%,48.60%
39,spncc,Support Vector Machine,55.77%,54.62%,55.77%,54.87%
39,spncc,k-Nearest Neighbors,49.77%,48.76%,49.77%,48.06%
39,spncc,Decision Tree,45.92%,45.78%,45.92%,45.14%
39,spncc,Random Forest,52.33%,51.14%,52.33%,46.07%
39,spncc,Gradient Boosting,55.89%,53.99%,55.89%,54.28%
39,spncc,Naive Bayes,41.43%,39.75%,41.43%,36.22%
